x	y	clickSelects	showSelected1
25.6	0.800000000000001	1995	19-14
27.9	1.38333333333334	1995	19-15
26.5	0.433333333333348	1995	19-16
25.2	0.183333333333348	1995	19-17
25.6	0.649999999999988	1995	19-18
24.7	0.666666666666686	1995	19-19
15.7	0.183333333333346	1995	19-2
22.9	0.183333333333337	1995	19-20
21	-0.0666666666666522	1995	19-21
19.1	-0.316666666666674	1995	19-22
17.6	-0.516666666666669	1995	19-23
17.1	-1.41666666666667	1995	19-24
11.1	2.11666666666665	1995	19-3
19.1	-1.35000000000001	1995	19-4
19.1	-1.65000000000002	1995	19-5
20.1	0.283333333333321	1995	19-6
20.1	-0.583333333333343	1995	19-7
20.5	-0.416666666666647	1995	19-8
21	-0.23333333333332	1995	19-9
24.3	0.549999999999994	1995	2-1
25.2	1.50000000000001	1995	2-10
25.6	1.11666666666666	1995	2-11
27.4	1.41666666666667	1995	2-12
27.9	1.29999999999999	1995	2-13
28.3	1.41666666666665	1995	2-14
27.9	1.68333333333333	1995	2-15
28.3	2.68333333333331	1995	2-16
25.2	1.36666666666669	1995	2-17
23.4	0.416666666666657	1995	2-18
21.9	0.416666666666657	1995	2-19
24.7	0.733333333333349	1995	2-2
20.1	0.516666666666662	1995	2-20
13.7	-2.31666666666666	1995	2-21
11.6	-2.16666666666669	1995	2-22
6.39999999999998	-3.16666666666666	1995	2-23
-2.20000000000005	-1.55000000000001	1995	2-24
24.3	0.48333333333332	1995	2-3
25.2	0.916666666666686	1995	2-4
25.2	0.466666666666686	1995	2-5
25.6	0.816666666666663	1995	2-6
25.6	0.5	1995	2-7
25.6	0.949999999999999	1995	2-8
25.6	1.99999999999999	1995	2-9
19.6	3.34999999999998	1995	20-1
21.9	-0.183333333333348	1995	20-10
23.4	-0.100000000000005	1995	20-11
25.2	-0.949999999999999	1995	20-12
27.4	0.0833333333333322	1995	20-13
26.5	0.966666666666686	1995	20-14
27	0.76666666666668	1995	20-15
26.5	0.500000000000011	1995	20-16
25.2	0.183333333333348	1995	20-17
25.6	0.583333333333325	1995	20-18
24.3	0.333333333333325	1995	20-19
15.7	0.183333333333346	1995	20-2
22.9	0.0333333333333314	1995	20-20
21.9	0.683333333333327	1995	20-21
19.1	-0.233333333333338	1995	20-22
17.6	-0.516666666666669	1995	20-23
17.6	-0.183333333333337	1995	20-24
15.7	-2	1995	20-3
21.5	-2.43333333333332	1995	20-4
19.1	-1.08333333333334	1995	20-5
19.1	-1.58333333333334	1995	20-6
20.1	-0.966666666666679	1995	20-7
21.5	1.77635683940025e-14	1995	20-8
21.9	0.0333333333333421	1995	20-9
27	1.30000000000003	1995	21-1
22.9	0.783333333333331	1995	21-10
19.6	-0.366666666666674	1995	21-11
22.4	0.166666666666657	1995	21-12
26.5	0.433333333333348	1995	21-13
26.1	0.683333333333327	1995	21-14
27	0.783333333333349	1995	21-15
27	1.06666666666668	1995	21-16
26.5	1.01666666666669	1995	21-17
25.6	0.949999999999999	1995	21-18
24.3	0.48333333333332	1995	21-19
18.1	0.166666666666657	1995	21-2
22.9	0.316666666666663	1995	21-20
21	-0.0499999999999936	1995	21-21
19.1	-0.233333333333338	1995	21-22
17.6	-0.433333333333337	1995	21-23
17.1	-0.433333333333337	1995	21-24
20.5	-2.21666666666664	1995	21-3
20.5	-1.51666666666665	1995	21-4
18.6	-0.966666666666669	1995	21-5
19.6	-1.56666666666668	1995	21-6
21	-0.23333333333332	1995	21-7
21.5	-0.516666666666652	1995	21-8
22.4	0.316666666666674	1995	21-9
28.8	-1.28333333333336	1995	22-1
22.4	-0.916666666666668	1995	22-10
25.6	1.79999999999999	1995	22-11
21	0.166666666666686	1995	22-12
23.4	-0.183333333333337	1995	22-13
26.5	0.350000000000012	1995	22-14
26.5	0.500000000000011	1995	22-15
26.1	0.166666666666657	1995	22-16
26.1	0.766666666666662	1995	22-17
25.6	0.866666666666657	1995	22-18
24.3	0.399999999999988	1995	22-19
25.2	-0.949999999999989	1995	22-2
22.4	-0.333333333333332	1995	22-20
21	-0.149999999999988	1995	22-21
19.1	-0.233333333333338	1995	22-22
17.6	-0.350000000000005	1995	22-23
17.1	-0.200000000000006	1995	22-24
21	-2.41666666666665	1995	22-3
19.1	-1.43333333333335	1995	22-4
18.6	-0.733333333333338	1995	22-5
19.1	-1.58333333333334	1995	22-6
20.5	-0.816666666666645	1995	22-7
21	-0.866666666666657	1995	22-8
21.9	-0.333333333333332	1995	22-9
25.2	-3.48333333333332	1995	23-1
20.1	-1.13333333333334	1995	23-10
21.5	-1.34999999999998	1995	23-11
21.5	0.750000000000011	1995	23-12
25.2	0.466666666666679	1995	23-13
26.5	0.350000000000012	1995	23-14
26.5	0.566666666666674	1995	23-15
26.1	0.333333333333314	1995	23-16
26.1	0.699999999999989	1995	23-17
25.2	0.383333333333344	1995	23-18
24.3	0.333333333333314	1995	23-19
21.9	-3.86666666666667	1995	23-2
22.4	-0.333333333333332	1995	23-20
20.5	-0.416666666666657	1995	23-21
19.1	-0.233333333333338	1995	23-22
17.6	-0.100000000000005	1995	23-23
16.7	-0.299999999999994	1995	23-24
21.9	-2.18333333333334	1995	23-3
20.5	-0.0999999999999766	1995	23-4
18.6	-0.733333333333338	1995	23-5
19.1	-1.35000000000001	1995	23-6
20.1	-1.15000000000002	1995	23-7
20.5	-1.49999999999998	1995	23-8
20.5	-1.18333333333331	1995	23-9
23.4	-2.83333333333333	1995	24-1
19.1	-1.63333333333334	1995	24-10
19.6	-0.850000000000023	1995	24-11
23.4	-0.183333333333337	1995	24-12
27	0.250000000000018	1995	24-13
26.5	0.216666666666679	1995	24-14
26.1	0.249999999999982	1995	24-15
26.1	0.483333333333309	1995	24-16
25.6	0.416666666666668	1995	24-17
24.7	0.26666666666668	1995	24-18
24.3	0.566666666666645	1995	24-19
25.6	-1.75000000000001	1995	24-2
22.9	0.316666666666663	1995	24-20
20.5	-0.183333333333326	1995	24-21
18.6	-0.566666666666674	1995	24-22
17.6	-0.0166666666666693	1995	24-23
16.7	-0.299999999999994	1995	24-24
23.4	-1.53333333333333	1995	24-3
21.5	0.666666666666675	1995	24-4
19.6	-0.233333333333338	1995	24-5
18.6	-1.90000000000002	1995	24-6
19.6	-1.23333333333335	1995	24-7
20.5	-1.74999999999997	1995	24-8
21	-1.71666666666664	1995	24-9
24.3	0.933333333333319	1995	3-1
25.6	1.59999999999999	1995	3-10
26.1	1.31666666666666	1995	3-11
27.4	0.950000000000006	1995	3-12
27.9	1.16666666666666	1995	3-13
27.4	0.516666666666662	1995	3-14
28.3	1.54999999999997	1995	3-15
28.3	1.84999999999998	1995	3-16
26.1	1.36666666666666	1995	3-17
24.7	0.900000000000016	1995	3-18
23.4	1.59999999999999	1995	3-19
23.8	0.283333333333321	1995	3-2
14.7	-1.29999999999999	1995	3-20
13.7	-2.31666666666666	1995	3-21
8.5	-1.39999999999998	1995	3-22
1.89999999999998	-2.26666666666667	1995	3-23
-2.20000000000005	-1.55000000000001	1995	3-24
24.3	0.916666666666647	1995	3-3
24.3	0.48333333333332	1995	3-4
25.2	0.983333333333348	1995	3-5
25.2	0.783333333333349	1995	3-6
25.6	0.733333333333331	1995	3-7
25.6	1.38333333333333	1995	3-8
25.2	1.8	1995	3-9
23.8	0.599999999999984	1995	4-1
25.6	1.53333333333332	1995	4-10
25.6	0.799999999999994	1995	4-11
27.9	1.45	1995	4-12
27.4	0.883333333333326	1995	4-13
28.3	1.09999999999998	1995	4-14
28.3	1.16666666666665	1995	4-15
29.2	2.16666666666668	1995	4-16
27.4	2.08333333333333	1995	4-17
25.2	1.78333333333334	1995	4-18
13.7	-1.23333333333333	1995	4-19
23.8	0.516666666666652	1995	4-2
14.7	-1.29999999999999	1995	4-20
10.6	-0.433333333333346	1995	4-21
8.5	-0.199999999999989	1995	4-22
2.5	-0.633333333333326	1995	4-23
-3.40000000000003	-0.0833333333333335	1995	4-24
23.8	0.749999999999982	1995	4-3
24.3	0.849999999999984	1995	4-4
24.7	0.500000000000018	1995	4-5
25.2	1.00000000000002	1995	4-6
25.2	0.683333333333348	1995	4-7
25.6	1.31666666666665	1995	4-8
25.2	1.75000000000001	1995	4-9
23.4	0.816666666666663	1995	5-1
25.2	1.50000000000001	1995	5-10
26.1	1.46666666666667	1995	5-11
28.8	2.79999999999999	1995	5-12
27	0.850000000000012	1995	5-13
27.9	1.06666666666667	1995	5-14
28.8	1.29999999999998	1995	5-15
29.2	1.86666666666666	1995	5-16
26.1	1.81666666666666	1995	5-17
16.2	-0.866666666666657	1995	5-18
13.7	-1.23333333333333	1995	5-19
23.8	1.13333333333331	1995	5-2
12.7	-0.133333333333326	1995	5-20
11.1	-0.950000000000008	1995	5-21
7.39999999999998	-1.98333333333333	1995	5-22
4.19999999999999	-0.98333333333332	1995	5-23
0.0999999999999659	-0.233333333333349	1995	5-24
23.8	1.38333333333331	1995	5-3
24.3	1.33333333333331	1995	5-4
24.3	0.849999999999984	1995	5-5
24.7	0.883333333333344	1995	5-6
25.6	1.54999999999999	1995	5-7
25.2	1.48333333333334	1995	5-8
25.2	2.03333333333333	1995	5-9
23.4	0.983333333333331	1995	6-1
25.2	1.26666666666667	1995	6-10
26.5	1.78333333333335	1995	6-11
29.2	2.98333333333335	1995	6-12
28.3	1.86666666666666	1995	6-13
27.9	0.916666666666668	1995	6-14
29.2	1.55	1995	6-15
27.4	0.883333333333326	1995	6-16
22.4	0.533333333333321	1995	6-17
15.2	-0.483333333333329	1995	6-18
12.1	-1.56666666666668	1995	6-19
23.4	1.04999999999999	1995	6-2
15.7	0.75	1995	6-20
13.7	-0.25	1995	6-21
9.09999999999997	-1.58333333333333	1995	6-22
6.39999999999998	-1.40000000000001	1995	6-23
2.5	-0.433333333333318	1995	6-24
23.4	1.29999999999999	1995	6-3
23.4	0.666666666666668	1995	6-4
24.3	0.949999999999989	1995	6-5
24.7	0.816666666666681	1995	6-6
25.2	1.08333333333334	1995	6-7
25.6	1.81666666666665	1995	6-8
25.2	1.96666666666667	1995	6-9
22.4	0.683333333333327	1995	7-1
25.6	1.69999999999999	1995	7-10
26.5	1.50000000000003	1995	7-11
27.9	1.66666666666667	1995	7-12
27.9	1.60000000000001	1995	7-13
27.9	1.13333333333334	1995	7-14
28.8	1.06666666666663	1995	7-15
24.3	0.699999999999978	1995	7-16
19.6	0.833333333333332	1995	7-17
19.6	-0.300000000000011	1995	7-18
16.7	0.116666666666674	1995	7-19
23.4	1.53333333333333	1995	7-2
18.6	-0.0833333333333322	1995	7-20
14.7	-0.733333333333329	1995	7-21
11.6	-0.450000000000008	1995	7-22
8.5	-0.44999999999998	1995	7-23
4.19999999999999	-0.799999999999983	1995	7-24
22.9	1.04999999999999	1995	7-3
23.4	0.733333333333331	1995	7-4
23.8	0.599999999999984	1995	7-5
24.7	1.05000000000001	1995	7-6
25.2	1.15000000000002	1995	7-7
24.7	0.983333333333338	1995	7-8
25.2	1.90000000000001	1995	7-9
22.4	1.08333333333333	1995	8-1
26.5	2.26666666666668	1995	8-10
26.5	1.46666666666669	1995	8-11
27.4	1.25	1995	8-12
27.4	1.18333333333334	1995	8-13
27.9	1.45000000000001	1995	8-14
27.9	0.983333333333338	1995	8-15
23.8	1.08333333333331	1995	8-16
19.6	-0.383333333333344	1995	8-17
25.2	1.68333333333335	1995	8-18
23.4	1.36666666666666	1995	8-19
22.9	1.49999999999999	1995	8-2
21.5	0.433333333333337	1995	8-20
16.2	-0.149999999999995	1995	8-21
11.6	-0.366666666666674	1995	8-22
8.5	-0.44999999999998	1995	8-23
4.19999999999999	-0.799999999999983	1995	8-24
22.4	1.08333333333333	1995	8-3
22.9	0.883333333333326	1995	8-4
23.4	0.516666666666669	1995	8-5
24.7	1.11666666666667	1995	8-6
25.2	1.31666666666668	1995	8-7
25.2	1.25000000000001	1995	8-8
25.6	1.99999999999999	1995	8-9
21.9	1.08333333333333	1995	9-1
27	2.61666666666669	1995	9-10
27.4	2.56666666666666	1995	9-11
27.4	1.5	1995	9-12
27.4	1.41666666666667	1995	9-13
28.8	1.66666666666665	1995	9-14
27.9	1.21666666666667	1995	9-15
21	0.483333333333338	1995	9-16
24.3	1.01666666666665	1995	9-17
27	2.56666666666669	1995	9-18
24.7	1.75000000000001	1995	9-19
22.4	1.58333333333333	1995	9-2
23.4	1.53333333333332	1995	9-20
17.6	-0.183333333333337	1995	9-21
11.6	-0.366666666666674	1995	9-22
9.09999999999997	0.46666666666666	1995	9-23
5.79999999999996	0.533333333333322	1995	9-24
21.9	0.999999999999989	1995	9-3
22.4	0.549999999999994	1995	9-4
23.4	0.600000000000005	1995	9-5
25.2	1.38333333333334	1995	9-6
25.2	1.38333333333334	1995	9-7
25.6	1.64999999999999	1995	9-8
26.5	2.73333333333335	1995	9-9
25.6	0.800000000000001	1995.08493150685	1-1
25.6	0.433333333333337	1995.08493150685	1-10
26.1	0.616666666666664	1995.08493150685	1-11
27	0.833333333333354	1995.08493150685	1-12
27.4	1.11666666666666	1995.08493150685	1-13
27.9	1.73333333333333	1995.08493150685	1-14
27.4	2.16666666666667	1995.08493150685	1-15
26.5	1.93333333333336	1995.08493150685	1-16
25.6	1.79999999999999	1995.08493150685	1-17
22.9	1.66666666666667	1995.08493150685	1-18
21.5	1.30000000000002	1995.08493150685	1-19
24.7	0.366666666666685	1995.08493150685	1-2
20.1	1.01666666666666	1995.08493150685	1-20
19.1	1.23333333333333	1995.08493150685	1-21
16.7	0.383333333333344	1995.08493150685	1-22
13.7	0.616666666666674	1995.08493150685	1-23
9.09999999999997	2.21666666666666	1995.08493150685	1-24
24.7	0.200000000000017	1995.08493150685	1-3
25.2	0.166666666666675	1995.08493150685	1-4
25.6	0.349999999999984	1995.08493150685	1-5
26.1	0.783333333333321	1995.08493150685	1-6
25.2	-0.21666666666664	1995.08493150685	1-7
25.6	0.433333333333337	1995.08493150685	1-8
25.6	0.966666666666669	1995.08493150685	1-9
22.4	1.56666666666666	1995.08493150685	10-1
27.4	1.25000000000001	1995.08493150685	10-10
27.4	0.433333333333319	1995.08493150685	10-11
27	0.700000000000017	1995.08493150685	10-12
27	1.15000000000002	1995.08493150685	10-13
27.9	0.916666666666657	1995.08493150685	10-14
27.4	1.53333333333333	1995.08493150685	10-15
21.9	0.366666666666657	1995.08493150685	10-16
23.8	0.133333333333315	1995.08493150685	10-17
23.4	0.100000000000005	1995.08493150685	10-18
22.9	0.316666666666663	1995.08493150685	10-19
22.4	1.23333333333333	1995.08493150685	10-2
22.9	1.18333333333332	1995.08493150685	10-20
18.6	0.666666666666668	1995.08493150685	10-21
12.1	-0.883333333333345	1995.08493150685	10-22
9.59999999999997	-0.466666666666677	1995.08493150685	10-23
7.39999999999998	0.25	1995.08493150685	10-24
22.9	0.866666666666657	1995.08493150685	10-3
24.7	1.75000000000001	1995.08493150685	10-4
25.2	0.900000000000016	1995.08493150685	10-5
25.6	0.283333333333314	1995.08493150685	10-6
24.7	-0.616666666666657	1995.08493150685	10-7
26.5	0.433333333333355	1995.08493150685	10-8
25.6	0.283333333333321	1995.08493150685	10-9
22.4	1.56666666666666	1995.08493150685	11-1
26.5	0.350000000000023	1995.08493150685	11-10
27	-0.266666666666652	1995.08493150685	11-11
27.4	-0.0833333333333322	1995.08493150685	11-12
27	1.15000000000002	1995.08493150685	11-13
27.4	0.883333333333336	1995.08493150685	11-14
26.1	1.04999999999999	1995.08493150685	11-15
21.9	0.366666666666657	1995.08493150685	11-16
23.4	0.75	1995.08493150685	11-17
23.4	0.100000000000005	1995.08493150685	11-18
24.3	0.616666666666646	1995.08493150685	11-19
21.9	0.899999999999995	1995.08493150685	11-2
25.6	2.19999999999999	1995.08493150685	11-20
18.6	0.666666666666668	1995.08493150685	11-21
11.6	-0.633333333333345	1995.08493150685	11-22
8.5	-0.94999999999998	1995.08493150685	11-23
4.69999999999999	-1.46666666666667	1995.08493150685	11-24
22.9	0.866666666666657	1995.08493150685	11-3
24.3	1.33333333333331	1995.08493150685	11-4
25.6	0.883333333333326	1995.08493150685	11-5
25.6	0.283333333333314	1995.08493150685	11-6
25.6	-0.400000000000006	1995.08493150685	11-7
26.1	0.0999999999999943	1995.08493150685	11-8
26.1	0.316666666666663	1995.08493150685	11-9
21.9	1.54999999999999	1995.08493150685	12-1
26.1	0.0166666666666515	1995.08493150685	12-10
27.4	-0.0999999999999943	1995.08493150685	12-11
27.9	-0.483333333333331	1995.08493150685	12-12
28.3	1.18333333333331	1995.08493150685	12-13
25.2	-0.349999999999984	1995.08493150685	12-14
22.4	-0.0833333333333428	1995.08493150685	12-15
25.6	1.26666666666666	1995.08493150685	12-16
26.5	0.816666666666691	1995.08493150685	12-17
24.3	0.799999999999994	1995.08493150685	12-18
25.6	0.883333333333326	1995.08493150685	12-19
21.9	0.883333333333326	1995.08493150685	12-2
23.4	0.183333333333337	1995.08493150685	12-20
21	0.933333333333355	1995.08493150685	12-21
11.6	-0.633333333333345	1995.08493150685	12-22
7.39999999999998	-1.45	1995.08493150685	12-23
2.5	-2.73333333333331	1995.08493150685	12-24
22.9	0.866666666666657	1995.08493150685	12-3
24.7	1.21666666666668	1995.08493150685	12-4
26.1	0.916666666666657	1995.08493150685	12-5
25.6	-0.100000000000012	1995.08493150685	12-6
26.1	-0.133333333333344	1995.08493150685	12-7
26.5	0.666666666666686	1995.08493150685	12-8
25.6	0.349999999999994	1995.08493150685	12-9
21.5	1.61666666666669	1995.08493150685	13-1
25.6	-0.400000000000006	1995.08493150685	13-10
27.4	-0.166666666666668	1995.08493150685	13-11
29.2	0.366666666666664	1995.08493150685	13-12
27.4	0.199999999999999	1995.08493150685	13-13
26.1	0.983333333333331	1995.08493150685	13-14
24.3	0.416666666666647	1995.08493150685	13-15
25.2	0.333333333333343	1995.08493150685	13-16
26.5	0.583333333333361	1995.08493150685	13-17
25.2	0.700000000000006	1995.08493150685	13-18
23.4	0.116666666666674	1995.08493150685	13-19
21.5	0.716666666666679	1995.08493150685	13-2
23.4	0.183333333333337	1995.08493150685	13-20
16.7	-1.24999999999998	1995.08493150685	13-21
11.1	-1.13333333333335	1995.08493150685	13-22
6.89999999999998	-2.4	1995.08493150685	13-23
1.89999999999998	-3.08333333333333	1995.08493150685	13-24
23.4	1.36666666666666	1995.08493150685	13-3
25.2	1.38333333333334	1995.08493150685	13-4
26.1	0.916666666666657	1995.08493150685	13-5
25.2	-0.366666666666657	1995.08493150685	13-6
25.6	0.266666666666669	1995.08493150685	13-7
25.2	0.466666666666679	1995.08493150685	13-8
